time_in_cycles,setting_1,TRA,T2,T24,T30,T50,P2,P15,P30,Nf,Nc,Ps30,phi,NRf,NRc,htBleed,Nf_dmd,PCNfR_dmd,W31,W32,failure
132,20.0041,100,491.19,607.8,1489.74,1254.68,9.35,13.66,334.21,2324.24,8762.64,44.98,314.78,2388.33,8095.55,365,2324,100,24.22,14.6587,0
133,42.0034,100,445,550.55,1358.01,1130.27,3.91,5.72,138.38,2212.56,8359.92,42.39,130.76,2388.61,8124.44,334,2212,100,10.5,6.3452,0
134,0.0007,100,518.67,643.01,1599.36,1419.44,14.62,21.61,552.95,2388.12,9098.39,47.69,521.23,2388.12,8176.12,395,2388,100,38.83,23.2488,0
135,20.0017,100,491.19,607.7,1482.13,1259.07,9.35,13.66,333.65,2324.29,8771.51,44.62,314.32,2388.43,8093.34,366,2324,100,24.27,14.5593,0
136,35.0054,100,449.44,556.59,1371.56,1126.58,5.48,8,193.95,2223.64,8394.64,42.19,183.31,2388.77,8109.59,335,2223,100,14.82,8.8081,0
137,42.0067,100,445,550.27,1352.18,1123.83,3.91,5.72,138.04,2212.62,8371.66,42.34,130.4,2388.73,8126.21,333,2212,100,10.37,6.1984,0
138,0.002,100,518.67,643.08,1601.04,1414.18,14.62,21.61,552.33,2388.11,9101.52,47.63,520.97,2388.09,8179.87,393,2388,100,38.86,23.1837,0
139,42.0068,100,445,550.44,1354.51,1136.77,3.91,5.72,138.14,2212.75,8368.2,42.36,130.46,2388.77,8123.87,333,2212,100,10.49,6.2598,0
140,35.0016,100,449.44,555.96,1371.18,1135.2,5.48,8.01,193.98,2223.7,8398.44,42.3,182.86,2388.87,8108.08,337,2223,100,14.72,8.8286,0
141,0,100,518.67,643.29,1593.54,1423.44,14.62,21.61,552.88,2388.14,9102.41,47.9,520.81,2388.17,8185.02,394,2388,100,38.51,23.1745,0
142,25.005,60,462.54,537.05,1273.3,1056.61,7.05,9.03,174.97,1916.14,8049.08,37,164.25,2029,7909.94,309,1915,84.93,14.17,8.575,0
143,42.0034,100,445,549.92,1361.08,1143.41,3.91,5.72,138.56,2212.72,8373.18,42.59,130.34,2388.87,8125.68,333,2212,100,10.51,6.3624,0
144,24.9981,60,462.54,537.01,1264.64,1061.07,7.05,9.03,175.15,1916.16,8063.13,37.18,164.5,2029.11,7913.37,308,1915,84.93,14.2,8.394,0
145,10.0018,100,489.05,605.71,1515.82,1328.33,10.52,15.5,393.61,2319.14,8841.17,45.77,370.87,2388.3,8176.96,372,2319,100,28.4,17.0137,0
146,42.0057,100,445,549.96,1362.26,1142.65,3.91,5.72,138.72,2212.84,8375.39,42.52,130.43,2388.99,8130.51,334,2212,100,10.75,6.2799,0
147,10.0038,100,489.05,605.84,1510.13,1323.49,10.52,15.5,392.87,2319.14,8840.85,45.94,371.2,2388.31,8183.17,372,2319,100,28.23,17.1453,0
148,42.0023,100,445,549.56,1367.45,1144.78,3.91,5.72,138.71,2212.85,8384.42,42.62,130.61,2388.98,8135.87,333,2212,100,10.45,6.3291,0
149,19.9982,100,491.19,608.1,1497.95,1260.6,9.35,13.66,333.2,2324.47,8784.12,44.84,314.51,2388.58,8111.6,368,2324,100,24.25,14.5049,0
150,35.0064,100,449.44,556.73,1379.12,1146.26,5.48,8.01,193.98,2224.09,8415.74,42.29,183,2389.25,8127.69,338,2223,100,14.78,8.849,0
151,9.9994,100,489.05,605.59,1508.86,1319.97,10.52,15.5,393.26,2319.14,8843.65,45.95,370.5,2388.37,8188.34,372,2319,100,28.6,16.8967,0
152,10.0037,100,489.05,605.54,1519.77,1329.68,10.52,15.5,393.2,2319.15,8846.16,46.01,370.51,2388.37,8184.44,371,2319,100,28.28,17.0368,0
153,24.9982,60,462.54,537.13,1274.55,1057.81,7.05,9.03,174.49,1916.39,8072.54,37.2,164.36,2029.33,7928.45,309,1915,84.93,14.09,8.5241,0
154,42.0049,100,445,550.53,1364.82,1146.87,3.91,5.72,138.48,2212.99,8397.52,42.67,130.05,2389.19,8151.36,333,2212,100,10.74,6.3906,1
1,20.0059,100,491.19,606.93,1478.67,1246.09,9.35,13.66,336.02,2323.93,8719.67,44.26,315.59,2388.12,8061.99,365,2324,100,24.55,14.627,0
2,42.0066,100,445,549.33,1358.82,1120.77,3.91,5.72,138.88,2211.9,8327.19,42.02,130.57,2388.02,8082.89,330,2212,100,10.6,6.3416,0
3,25.0009,60,462.54,536.69,1253.49,1046.28,7.05,9.03,175.18,1915.33,8020.82,36.52,164.84,2028.22,7880.15,306,1915,84.93,14.37,8.5912,0
4,25.0023,60,462.54,536.95,1255.98,1039.59,7.05,9.03,174.82,1915.36,8010.78,36.6,164.79,2028.31,7874.56,307,1915,84.93,14.3,8.6176,0
5,42.0045,100,445,549.62,1353.71,1121.55,3.91,5.71,139.04,2211.93,8316.01,41.93,129.93,2387.98,8085.4,327,2212,100,10.68,6.4058,0
6,42.0018,100,445,549.71,1354.38,1121.67,3.91,5.72,138.22,2211.93,8322.65,41.99,130.68,2387.93,8088.3,331,2212,100,10.54,6.4065,0
7,10.0021,100,489.05,604.1,1495.16,1308.5,10.52,15.49,395.38,2318.9,8784.26,45.33,371.9,2388.02,8132.32,368,2319,100,28.66,17.1665,0
8,10.0038,100,489.05,603.92,1497.86,1305.61,10.52,15.49,395.26,2318.89,8774.66,45.29,371.73,2388.05,8129.38,369,2319,100,28.6,17.2339,0
9,0.0023,100,518.67,642.64,1584.43,1402,14.62,21.61,554.13,2388.04,9052.62,47.24,522.01,2388.04,8136.82,393,2388,100,39.17,23.3952,0
10,35.0076,100,449.44,555.32,1365.29,1127.49,5.48,8,194.51,2222.96,8350.31,41.59,183.3,2388.08,8068.97,335,2223,100,14.91,8.8867,0
11,0.0025,100,518.67,642.12,1584.92,1397.19,14.62,21.61,553.63,2388.03,9065.06,47.3,522.07,2388.02,8138.29,391,2388,100,39.05,23.3901,0
12,0.0016,100,518.67,642.25,1581.91,1402.57,14.62,21.61,554.35,2388.04,9056.72,47.32,521.88,2388.09,8136.29,393,2388,100,38.95,23.2489,0
13,0.0011,100,518.67,642.81,1582.59,1405.7,14.62,21.61,554.25,2388.03,9058.58,47.29,522.35,2388.01,8140.86,392,2388,100,38.96,23.4814,0
14,20.0059,100,491.19,607.17,1484.12,1245.38,9.35,13.65,335.18,2323.92,8729.16,44.21,315.28,2388.02,8060.48,363,2324,100,24.58,14.6883,0
15,25.0003,60,462.54,537.12,1258.69,1039.29,7.05,9.03,175.53,1915.35,8011.73,36.55,164.32,2028.27,7875.55,305,1915,84.93,14.5,8.6138,0
16,35.0009,100,449.44,556.04,1363.25,1129.6,5.48,8,194.36,2222.96,8340.15,41.72,183.47,2388.03,8073.31,333,2223,100,14.88,9.0382,0
17,35.0021,100,449.44,555.09,1366.59,1126.92,5.48,8,194.75,2222.96,8353.83,41.69,182.85,2388.09,8070.22,335,2223,100,15.03,8.8526,0
18,24.9983,60,462.54,536.68,1258.73,1050.35,7.05,9.02,175.71,1915.37,8008.33,36.64,164.78,2028.24,7873.05,305,1915,84.93,14.44,8.5391,0
19,10.0076,100,489.05,604.14,1494.57,1304.01,10.52,15.49,394.87,2318.88,8780.7,45.33,371.67,2388.14,8133.01,369,2319,100,28.67,17.0727,0
20,20.0055,100,491.19,607.22,1485.38,1243.58,9.35,13.65,334.96,2323.9,8726.06,44.39,315.32,2388.09,8065.46,364,2324,100,24.36,14.6784,0
21,20.004,100,491.19,607.22,1489.76,1250.67,9.35,13.65,335.26,2323.94,8723.12,44.15,314.83,2388.09,8065.33,364,2324,100,24.54,14.6364,0
22,10.0073,100,489.05,604.52,1495.05,1307.26,10.52,15.49,394.4,2318.94,8774.81,45.41,371.42,2388.02,8127.43,368,2319,100,28.73,17.1675,0
23,20.0053,100,491.19,607.18,1478.02,1254.1,9.35,13.65,334.26,2323.9,8717.76,44.24,315.33,2388.1,8063.64,366,2324,100,24.61,14.7869,0
24,20.0038,100,491.19,606.91,1483.97,1242.87,9.35,13.65,334.52,2323.9,8716.99,44.33,315.21,2388.04,8058.25,365,2324,100,24.42,14.6586,0
25,10.0077,100,489.05,604.76,1495.05,1297.13,10.52,15.49,394.9,2318.85,8773.69,45.4,371.99,2388.09,8132.48,369,2319,100,28.76,17.166,0
26,9.9988,100,489.05,605.18,1498.64,1307.25,10.52,15.49,395.25,2318.89,8779.87,45.12,372.25,2388.08,8134.2,368,2319,100,28.45,17.1861,0
27,20.0078,100,491.19,607.25,1487.56,1251.46,9.35,13.66,335.11,2323.95,8727.4,44.48,315.34,2388.08,8062.77,364,2324,100,24.5,14.6916,0
28,10.006,100,489.05,604.16,1500.84,1300.28,10.52,15.49,394.74,2318.8,8776.08,45.18,372.32,2388.07,8132.03,367,2319,100,28.47,17.2907,0
29,25.0071,60,462.54,536.64,1261.46,1043.33,7.05,9.03,175.08,1915.41,8011.21,36.65,164.84,2028.25,7871.39,307,1915,84.93,14.39,8.595,0
30,10.0002,100,489.05,604.63,1495.83,1302.03,10.52,15.49,394.94,2318.92,8777.91,45.25,371.36,2388.03,8130.77,369,2319,100,28.55,17.2963,0
31,0.0006,100,518.67,642.19,1587.08,1406.82,14.62,21.61,553.65,2388,9060.84,47.23,522.24,2388.04,8130.3,392,2388,100,39.03,23.3473,0
32,19.9995,100,491.19,607.19,1484.66,1243.56,9.35,13.65,335.35,2323.86,8728.13,44.09,314.88,2388.07,8060.04,365,2324,100,24.54,14.7195,0
33,34.9996,100,449.44,555.3,1366.31,1125.7,5.48,8,193.89,2222.93,8350.21,41.68,183.14,2388.06,8068.99,332,2223,100,14.88,8.8546,0
34,35.0056,100,449.44,555.95,1367.2,1122.1,5.48,8,194.93,2222.93,8351.21,41.93,183.59,2388.01,8069.51,333,2223,100,15.06,8.9313,0
35,41.9988,100,445,549.24,1347.96,1127.86,3.91,5.72,138.26,2211.95,8316.87,42,130.61,2388,8087.27,333,2212,100,10.71,6.4009,0
36,20.0013,100,491.19,606.64,1477.55,1239.69,9.35,13.65,335.19,2323.87,8724.28,44.07,315.4,2388.03,8065.93,364,2324,100,24.44,14.6982,0
37,19.9997,100,491.19,607.25,1484.88,1243.68,9.35,13.65,334.41,2323.94,8720.38,44.33,315.07,2388.11,8061.88,364,2324,100,24.5,14.6606,0
38,42.0042,100,445,548.87,1355.8,1122.7,3.91,5.72,139.04,2211.96,8317.49,41.9,130.46,2388.08,8083.8,331,2212,100,10.71,6.3884,0
39,35.0074,100,449.44,555.82,1358.93,1133.49,5.48,8,193.96,2222.94,8351.47,41.74,183.55,2388,8064.33,333,2223,100,14.7,8.9124,0
40,25.002,60,462.54,536.97,1271.82,1052.95,7.05,9.02,175.71,1915.36,8006.37,36.79,164.78,2028.31,7873.95,306,1915,84.93,14.22,8.5425,0
41,10.0054,100,489.05,604.29,1497.71,1298.01,10.52,15.49,394.59,2318.88,8780.25,45.39,371.33,2388.07,8129.72,369,2319,100,28.76,17.1247,0
42,25.0055,60,462.54,536.58,1256.92,1048.66,7.05,9.03,174.71,1915.31,8010.81,36.62,164.83,2028.26,7869.71,307,1915,84.93,14.34,8.5533,0
43,34.9997,100,449.44,555.42,1362.43,1127.88,5.48,8,194.54,2222.98,8354.85,41.84,183.48,2388.08,8076.47,334,2223,100,14.81,8.9562,0
44,9.9997,100,489.05,604.64,1497.77,1300.57,10.52,15.49,394.26,2318.9,8770.99,45.25,371.87,2387.99,8134.13,368,2319,100,28.68,17.2295,0
45,42.0048,100,445,549.68,1352.36,1123.29,3.91,5.71,139.3,2211.92,8322.98,41.87,130.02,2388.03,8083.01,331,2212,100,10.48,6.2827,0
46,35.0029,100,449.44,555.57,1362.29,1126.63,5.48,8,194.72,2223.03,8345.74,41.72,183.7,2388.06,8070.54,334,2223,100,14.83,8.8313,0
47,42.0018,100,445,549.68,1354.37,1125.46,3.91,5.72,138.83,2211.95,8330.13,41.94,130.74,2388,8085.56,329,2212,100,10.66,6.3926,0
48,0.0013,100,518.67,642.27,1586.15,1399.42,14.62,21.61,553.37,2388.07,9063.49,47.35,521.31,2388.04,8143.13,392,2388,100,38.94,23.3193,0
49,34.9995,100,449.44,555.36,1365.44,1125.53,5.48,8,194.21,2222.97,8345.52,41.76,183.12,2388.1,8066.81,333,2223,100,14.71,8.848,0
50,0.0012,100,518.67,642.39,1590.07,1401.75,14.62,21.61,553.77,2388.06,9054.91,47.37,522.2,2388.04,8138.43,394,2388,100,38.72,23.3156,0
51,0.002,100,518.67,642.25,1583.08,1404.37,14.62,21.61,553.84,2388.04,9058.32,47.17,522.14,2388.06,8134.24,391,2388,100,38.96,23.3284,0
52,42.0002,100,445,550.2,1352,1120.88,3.91,5.71,138.77,2211.93,8324.99,41.91,130.5,2388,8083.53,328,2212,100,10.65,6.3613,0
53,10.0074,100,489.05,604.45,1499.94,1307.73,10.52,15.49,394.95,2318.89,8777.04,45.21,371.15,2388.08,8135.45,366,2319,100,28.34,17.1749,0
54,10.007,100,489.05,604.42,1497.91,1304.58,10.52,15.49,394.69,2318.88,8779.32,45.39,372.1,2388.07,8134.7,369,2319,100,28.53,17.1519,0
55,20.0026,100,491.19,607.25,1483.42,1247,9.35,13.66,335.52,2323.96,8719,44.28,315.38,2388.04,8065.68,364,2324,100,24.44,14.803,0
56,42.0038,100,445,549.26,1351.76,1125.49,3.91,5.71,138.77,2211.86,8321.07,42.08,130.69,2388.03,8085.99,330,2212,100,10.64,6.3542,0
57,25.0073,60,462.54,536.88,1260.57,1041.42,7.05,9.03,175.48,1915.41,8011.52,36.54,164.44,2028.27,7873.35,306,1915,84.93,14.39,8.631,0
58,25.0043,60,462.54,536.8,1260.38,1053.04,7.05,9.03,175.43,1915.34,8014.79,36.54,164.94,2028.22,7873.84,307,1915,84.93,14.33,8.6131,0
59,10.0054,100,489.05,604.77,1502.72,1304.03,10.52,15.49,395.06,2318.88,8780.41,45.31,371.74,2388.08,8132.87,369,2319,100,28.5,17.1475,0
60,25.0001,60,462.54,536.49,1257.96,1047.91,7.05,9.02,176.02,1915.4,8011.59,36.53,164.59,2028.3,7869.31,307,1915,84.93,14.36,8.547,0
61,35.008,100,449.44,555.66,1362.76,1123.6,5.48,8,195.14,2222.93,8351.82,41.88,182.93,2388.03,8067.84,334,2223,100,14.84,8.9119,0
62,0.0021,100,518.67,642.64,1580.42,1401.91,14.62,21.61,554.3,2388.06,9057.4,47.43,521.52,2388.04,8137.19,392,2388,100,38.89,23.3511,0
63,10.0075,100,489.05,604.91,1495.78,1306.26,10.52,15.49,395.42,2318.89,8776.22,45.27,371.89,2388.12,8124.47,369,2319,100,28.83,17.2152,0
64,10.0074,100,489.05,604.48,1502.83,1292.89,10.52,15.49,394.59,2318.89,8777.09,45.39,371.81,2388.05,8131.5,370,2319,100,28.65,17.1599,0
65,0.002,100,518.67,642.16,1587.26,1397.33,14.62,21.61,554.2,2388.04,9058.18,47.34,521.78,2388.04,8138.24,393,2388,100,38.9,23.3141,0
66,34.9992,100,449.44,555.36,1362.33,1132.34,5.48,8,195.21,2222.89,8342.88,41.66,182.89,2387.98,8066.16,333,2223,100,14.83,9.0191,0
67,34.9998,100,449.44,555.82,1360.7,1127.5,5.48,8,194.04,2222.98,8346.33,42.05,183.17,2388.01,8062.05,334,2223,100,14.93,8.9638,0
68,9.9984,100,489.05,604.55,1497.89,1305.75,10.52,15.49,394.48,2318.83,8782.37,45.47,372.24,2388.12,8136.23,369,2319,100,28.53,17.1818,0
69,0.0023,100,518.67,642.72,1585.19,1408.06,14.62,21.61,553.75,2388.1,9054.16,47.38,521.78,2388.12,8133.9,394,2388,100,38.98,23.3945,0
70,25.0036,60,462.54,536.85,1267.96,1045.29,7.05,9.02,175.85,1915.37,8006.53,36.66,164.76,2028.23,7869.74,307,1915,84.93,14.47,8.4563,0
71,25.0012,60,462.54,536.8,1259.96,1049.08,7.05,9.03,174.96,1915.37,8015.66,36.62,164.7,2028.22,7883.29,307,1915,84.93,14.26,8.5572,0
72,19.9987,100,491.19,607.62,1485.63,1245.19,9.35,13.65,334.69,2323.94,8717.76,44.4,314.82,2388.07,8055.92,365,2324,100,24.42,14.7255,0
73,0.0022,100,518.67,642.72,1590.55,1399.98,14.62,21.61,553.61,2388.03,9060.5,47.56,521.24,2388.03,8138.11,392,2388,100,38.86,23.4504,0
74,42.007,100,445,549.64,1352.31,1117.05,3.91,5.71,138.69,2211.97,8316.2,41.99,130.56,2387.98,8084.89,329,2212,100,10.68,6.3563,0
75,10.0017,100,489.05,604.02,1497.14,1308.76,10.52,15.49,393.86,2318.88,8783.2,45.21,372.11,2388.12,8125.19,368,2319,100,28.69,17.2506,0
76,20.0036,100,491.19,607.74,1486.85,1246.89,9.35,13.66,335.31,2323.96,8729.49,44.32,314.9,2388.07,8059.4,364,2324,100,24.54,14.7381,0
77,20.0068,100,491.19,607.33,1481.33,1245.75,9.35,13.65,335.03,2323.98,8720.42,44.37,314.51,2388.08,8063.93,365,2324,100,24.47,14.7291,0
78,42.0007,100,445,548.87,1353,1122.18,3.91,5.71,137.75,2211.88,8321.84,42.14,130.71,2388.04,8085.5,330,2212,100,10.71,6.3741,0
79,20.007,100,491.19,606.95,1481.28,1240.19,9.35,13.66,334.62,2323.95,8720.88,44.4,315.35,2388.1,8056.13,365,2324,100,24.5,14.7139,0
80,0.001,100,518.67,642.23,1591.11,1403.66,14.62,21.61,553.47,2388.09,9059.91,47.38,521.87,2388.04,8136.76,393,2388,100,38.77,23.4175,0
81,20.0062,100,491.19,607.38,1493.22,1250.47,9.35,13.66,334.85,2323.95,8726.88,44.33,315.06,2388.07,8064.1,366,2324,100,24.57,14.7044,0
82,42.0067,100,445,549.41,1353.67,1120.17,3.91,5.72,138.45,2211.91,8323.39,42.03,130.33,2387.97,8086.57,331,2212,100,10.57,6.4101,0
83,35.0074,100,449.44,556.18,1366.2,1132.52,5.48,8,194.96,2222.97,8351.46,41.84,182.64,2388.05,8071.66,335,2223,100,14.84,8.9724,0
84,19.9981,100,491.19,607.73,1487.16,1248.02,9.35,13.66,334.75,2323.97,8726.26,44.35,315.07,2388.11,8058.2,366,2324,100,24.44,14.6133,0
85,42.0035,100,445,549.51,1354.42,1126.3,3.91,5.71,139.55,2211.93,8317.73,42.11,129.79,2388.01,8084.19,330,2212,100,10.56,6.3917,0
86,24.9991,60,462.54,537.06,1258.42,1039.41,7.05,9.03,174.89,1915.29,8012.16,36.68,164.54,2028.23,7880.99,308,1915,84.93,14.35,8.6564,0
87,25.0053,60,462.54,537.62,1259.82,1044.7,7.05,9.03,175.9,1915.36,8014.62,36.88,164.9,2028.26,7877.17,308,1915,84.93,14.32,8.648,0
88,20.0005,100,491.19,607.64,1482.81,1249.65,9.35,13.65,334.51,2323.94,8722.19,44.39,315.13,2388.08,8059.48,365,2324,100,24.41,14.6962,0
89,41.9995,100,445,549.73,1350.81,1118.4,3.91,5.71,138.81,2211.93,8328.94,42.16,130.42,2387.93,8081.91,330,2212,100,10.52,6.4151,0
90,42.0057,100,445,549.79,1348,1126.6,3.91,5.71,138.23,2211.85,8324.87,42.14,130.83,2387.94,8085.54,331,2212,100,10.73,6.3489,0
91,35.0049,100,449.44,555.64,1358.22,1126.35,5.48,8,194.93,2222.94,8348.29,42.15,183.08,2388.08,8068.93,335,2223,100,14.87,8.8965,0
92,25.0015,60,462.54,536.48,1256.05,1050.54,7.05,9.02,175.52,1915.35,8005.09,36.69,164.41,2028.23,7881.33,306,1915,84.93,14.27,8.704,0
93,24.9994,60,462.54,536.4,1253.8,1051.26,7.05,9.03,175.73,1915.28,8007.02,36.63,164.8,2028.16,7870.87,306,1915,84.93,14.17,8.5336,0
94,0.0024,100,518.67,642.06,1592.8,1400.54,14.62,21.61,553.52,2388.09,9049.6,47.41,521.76,2388.12,8137.28,393,2388,100,39.02,23.4567,0
95,0.0016,100,518.67,642.81,1591.68,1408.71,14.62,21.61,553.73,2388.1,9052.39,47.55,521.92,2388.08,8140.75,392,2388,100,38.98,23.3968,0
96,42.004,100,445,549.86,1350.62,1126.2,3.91,5.71,138.65,2211.85,8320.68,41.99,129.7,2387.97,8088.65,330,2212,100,10.68,6.3389,0
97,35.0051,100,449.44,555.83,1373.49,1124.41,5.48,8,194.27,2222.95,8350.75,41.9,183.74,2388.03,8062.75,334,2223,100,14.97,8.8996,0
98,0.0026,100,518.67,642.43,1591.92,1401.15,14.62,21.61,553.5,2388.07,9055.12,47.55,521.47,2388.05,8139.64,392,2388,100,38.85,23.3127,0
99,42.0002,100,445,549.86,1357.46,1123.09,3.91,5.71,138.61,2211.84,8322.93,42.21,130.24,2387.98,8082.83,330,2212,100,10.56,6.3646,0
100,42.0047,100,445,550.04,1346.6,1129.34,3.91,5.72,138.28,2211.89,8326.93,42.13,130.28,2387.98,8083.23,330,2212,100,10.71,6.3688,0
101,10.0067,100,489.05,604.98,1505.91,1304.15,10.52,15.49,395.03,2318.91,8777.71,45.4,371.08,2388.13,8129.93,370,2319,100,28.61,17.1493,0
102,35.0073,100,449.44,555.24,1358.76,1122.3,5.48,8,194.42,2222.94,8349.73,41.85,182.71,2388.04,8065.19,334,2223,100,14.95,8.8677,0
103,25.0002,60,462.54,536.79,1264.32,1053.28,7.05,9.03,175.61,1915.33,8019.97,36.69,165.11,2028.23,7874.58,306,1915,84.93,14.29,8.6132,0
104,34.9988,100,449.44,555.8,1365.52,1131.33,5.48,8,194.38,2222.94,8353.55,41.84,183.61,2388,8067.86,333,2223,100,15.01,8.8204,0
105,41.9981,100,445,549.91,1355.12,1129.88,3.91,5.71,138.34,2211.87,8323.3,42.15,130.63,2387.88,8083.42,332,2212,100,10.52,6.3797,0
106,10.0035,100,489.05,605.33,1492.2,1314.51,10.52,15.49,394.1,2318.97,8779.08,45.41,371.29,2388.17,8126.93,370,2319,100,28.64,17.226,0
107,42.0028,100,445,549.52,1354.12,1120.9,3.91,5.72,138.39,2211.89,8317.6,42.19,130.04,2387.92,8087.46,330,2212,100,10.59,6.3293,0
108,25.0048,60,462.54,536.87,1269.28,1050.1,7.05,9.03,175.17,1915.26,8007.28,36.85,164.06,2028.2,7873.12,307,1915,84.93,14.34,8.5584,0
109,41.9993,100,445,549.71,1357.16,1131.95,3.91,5.72,138.33,2211.87,8327.66,42.21,130.22,2387.89,8081.72,331,2212,100,10.71,6.2494,0
110,25.0042,60,462.54,536.85,1268,1051.61,7.05,9.02,175.22,1915.27,8015,36.84,164.98,2028.18,7870.11,308,1915,84.93,14.36,8.6387,0
111,42.0057,100,445,549.42,1356.3,1118.61,3.91,5.72,139.26,2211.87,8319.26,42.06,131.02,2387.94,8078.73,331,2212,100,10.8,6.3783,0
112,20.0055,100,491.19,607.65,1480.31,1253.36,9.35,13.66,334.81,2323.94,8720.25,44.55,315.41,2388.14,8060.04,367,2324,100,24.3,14.7336,0
113,24.9989,60,462.54,536.48,1263.29,1046.04,7.05,9.03,175.57,1915.31,8013.25,36.9,164.35,2028.18,7876.75,306,1915,84.93,14.15,8.4711,0
114,42.0031,100,445,550.16,1345.76,1132.01,3.91,5.72,138.58,2211.87,8324.92,42.07,130.54,2387.97,8087.1,332,2212,100,10.43,6.3208,0
115,35.0025,100,449.44,555.63,1366.42,1127.32,5.48,8,193.8,2222.93,8347.39,42.01,183.62,2388.01,8063.26,333,2223,100,14.75,9.0168,0
116,42.0002,100,445,549.98,1358.49,1126.6,3.91,5.71,138.4,2211.89,8321.98,42.25,130.23,2387.91,8077.42,333,2212,100,10.75,6.3419,0
117,41.9995,100,445,550.18,1357.13,1125.74,3.91,5.72,138.09,2211.81,8317.16,42.2,130.17,2387.88,8081.67,331,2212,100,10.46,6.3726,0
118,42.0078,100,445,549.2,1348.94,1128.61,3.91,5.71,138.47,2211.84,8317.57,42.19,130.46,2387.9,8083.19,329,2212,100,10.63,6.3852,0
119,0.0008,100,518.67,642.33,1590.73,1406.86,14.62,21.61,553.5,2388.07,9052.54,47.53,521.46,2388.13,8140.18,393,2388,100,38.75,23.266,0
120,0.0008,100,518.67,642.55,1589.58,1403.36,14.62,21.61,552.87,2388.12,9049.8,47.57,521.49,2388.12,8137.32,393,2388,100,38.75,23.2742,0
121,42.0046,100,445,549.39,1350.55,1135.64,3.91,5.72,138.69,2211.77,8321.59,42.2,130.25,2387.87,8081.16,332,2212,100,10.6,6.3269,0
122,42.0045,100,445,550.12,1349.82,1125.96,3.91,5.72,137.79,2211.8,8315.87,42.15,130.57,2387.89,8079.22,330,2212,100,10.55,6.224,0
123,10.007,100,489.05,604.97,1511.51,1316.19,10.52,15.49,394.89,2318.99,8781.86,45.33,370.76,2388.15,8130.84,370,2319,100,28.42,17.0517,0
124,41.9988,100,445,549.99,1355.11,1131.04,3.91,5.71,138.03,2211.75,8316.6,42.09,130.4,2387.85,8082.27,331,2212,100,10.63,6.3208,0
125,25.0006,60,462.54,537.26,1261.6,1060.27,7.05,9.03,174.84,1915.33,8006.44,36.81,164.22,2028.19,7869.67,306,1915,84.93,14.27,8.6509,0
126,0.0013,100,518.67,642.75,1584.88,1408.1,14.62,21.61,553.29,2388.12,9054.32,47.9,521.24,2388.12,8132.35,393,2388,100,38.81,23.2659,0
127,10.0059,100,489.05,605,1506.17,1304.3,10.52,15.49,393.68,2318.95,8772.44,45.32,370.8,2388.18,8124.91,372,2319,100,28.45,17.2199,0
128,42.005,100,445,550.07,1351.55,1131.13,3.91,5.71,138.61,2211.81,8316.77,42.03,130.45,2387.88,8078.04,331,2212,100,10.66,6.38,0
129,0.0018,100,518.67,642.82,1588.11,1415.76,14.62,21.61,553.36,2388.12,9043.43,47.41,521.22,2388.13,8133.45,394,2388,100,38.69,23.1815,0
130,42.0058,100,445,549.96,1348.54,1131.44,3.91,5.72,138.98,2211.81,8323.97,42.29,130.36,2387.91,8087.2,331,2212,100,10.6,6.3422,0
131,20.0018,100,491.19,607.69,1483.01,1255.07,9.35,13.66,334.19,2324.01,8720.78,44.51,313.96,2388.18,8052.71,366,2324,100,24.24,14.6514,0
132,41.9994,100,445,549.43,1355.73,1123.74,3.91,5.72,138.73,2211.81,8319.66,42.2,130.36,2387.86,8082.34,332,2212,100,10.56,6.2619,0
133,10.003,100,489.05,605.47,1502.51,1313.61,10.52,15.49,394.25,2319.01,8773.86,45.69,371.19,2388.21,8122.61,370,2319,100,28.39,17.1265,0
134,20.0034,100,491.19,607.98,1489.27,1264.56,9.35,13.66,334.3,2324,8726.84,44.63,315.04,2388.11,8055.54,365,2324,100,24.39,14.665,0
135,0.0026,100,518.67,643.18,1586.55,1417.84,14.62,21.61,553.31,2388.18,9060.27,47.75,521.37,2388.17,8133.26,395,2388,100,38.88,23.2513,0
136,35.0004,100,449.44,556.21,1374.32,1140.33,5.48,8,194.13,2222.88,8351.59,42.26,183.2,2387.94,8065.73,334,2223,100,14.76,8.8276,0
137,0.0002,100,518.67,642.61,1590.41,1409.02,14.62,21.61,553.84,2388.15,9052.4,47.72,521.24,2388.08,8132.72,394,2388,100,38.78,23.0911,0
138,35.0043,100,449.44,555.62,1372,1137.24,5.48,8,194.2,2222.9,8350.15,42.26,183.02,2387.96,8059.74,335,2223,100,14.82,8.8527,0
139,41.9982,100,445,549.21,1347.69,1130.23,3.91,5.72,138.08,2211.77,8320.84,42.22,130.38,2387.83,8076.93,331,2212,100,10.49,6.4017,0
140,0.0021,100,518.67,642.93,1590.79,1411.34,14.62,21.61,552.18,2388.19,9054.34,47.65,520.97,2388.16,8135.35,395,2388,100,38.84,23.1988,0
141,0.0019,100,518.67,642.91,1590.69,1411.75,14.62,21.61,552.06,2388.06,9048.23,47.88,521.25,2388.2,8130.74,391,2388,100,38.71,23.3011,0
142,42.0076,100,445,550.1,1354.28,1136.82,3.91,5.72,138.36,2211.71,8323.16,42.58,130.45,2387.85,8078.27,333,2212,100,10.54,6.3382,0
